id,current_month,id,logins_current_month,country,traffic_type,platform,ads_shown_current_month,ads_revenue_current_month,revenue_current_month,games_pvp,wins_pvp,quests,hard_quests,current_passed_level,offers,currency_1,currency_2,currency_3,currency_4,currency_5,currency_6,currency_7,current_avg_ping,current_month,ads_revenue_next_month,revenue_next_month,log_ads_revenue_next_month,log_revenue_next_month,is_active_next_month,months_after_reg,log_revenue_current_month,log_ads_revenue_current_month
6,2025-04,6,29,133,organic,Android,66,0.040797325069434,0.0,221,109,201,17,63,0,0,0,0,0,0,0,0,0.2770338654518127,2025-04,0.0,0.0,0.0,0.0,False,3,0.0,0.03998707814121286
10,2025-04,10,30,164,paid,iOS,781,26.512755688279867,121.3582473397255,401,234,390,23,104,5,7579,165,3340,85,220,97750,5350,0.049058761447668,2025-04,0.0,0.0,0.0,0.0,False,1,4.806953195379245,3.3146497403406947
11,2025-04,11,7,93,organic,Android,3,0.0213891344610601,0.0,20,11,45,1,12,0,0,0,0,0,0,0,0,0.3258494436740875,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.021163597286689914
18,2025-04,18,9,112,organic,iOS,67,2.316753428429365,5.058956623077393,97,63,175,10,39,0,0,0,0,0,0,0,0,0.3963805139064789,2025-04,0.0,0.0,0.0,0.0,False,0,1.8015376108478367,1.1989864214856794
23,2025-04,23,13,67,paid,Android,19,0.1454495708458125,0.0,114,58,190,11,32,0,0,0,0,0,0,0,0,0.2094841003417968,2025-04,0.0,0.0,0.0,0.0,False,1,0.0,0.1357971982372454
29,2025-04,29,1,161,organic,iOS,1,0.0029119080863893,0.0,10,8,44,1,40,0,0,0,0,0,0,0,0,0.4002569913864136,2025-04,0.0,0.0,0.0,0.0,False,1,0.0,0.002907676694330499
39,2025-04,39,1,67,organic,Android,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
40,2025-04,40,2,153,paid,Android,0,0.0,0.0,1,1,3,0,0,0,0,0,0,0,0,0,0,0.4122243821620941,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
43,2025-04,43,3,109,paid,Android,25,0.0459209925902541,0.0,6,5,14,1,7,0,0,0,0,0,0,0,0,0.1115875244140625,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.044897829893471686
50,2025-04,50,5,153,paid,Android,6,0.0564125496894121,0.0,39,21,119,6,22,6,250,350,0,0,0,0,0,0.4050688147544861,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0548787810459798
59,2025-04,59,2,50,organic,iOS,5,0.056003151461482,0.0,3,1,15,0,2,0,0,0,0,0,0,0,0,0.1908192932605743,2025-04,0.0,0.0,0.0,0.0,False,7,0.0,0.054491169618141225
62,2025-04,62,1,153,organic,iOS,2,0.0044445819221436,0.0,15,7,52,1,44,0,0,0,0,0,0,0,0,0.3961460590362549,2025-04,0.0,0.0,0.0,0.0,False,1,0.0,0.004434733937247131
63,2025-04,63,4,133,paid,Android,0,0.0,0.0,5,3,6,1,0,0,0,0,0,0,0,0,0,1.4035483598709106,2025-04,0.0,0.0,0.0,0.0,False,6,0.0,0.0
68,2025-04,68,1,60,paid,iOS,1,0.0405158884823322,0.0,1,1,5,0,1,0,0,0,0,0,0,0,0,0.3777399957180023,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.03971663678045597
75,2025-04,75,1,86,paid,Android,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
81,2025-04,81,3,173,paid,Android,0,0.0,0.0,2,2,7,1,1,0,0,0,0,0,0,0,0,0.4646470546722412,2025-04,0.0,0.0,0.0,0.0,False,1,0.0,0.0
84,2025-04,84,1,71,paid,Android,5,1.3148216009140017,0.0,3,3,8,0,3,0,0,0,0,0,0,0,0,0.4379324615001678,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.8393326223285783
86,2025-04,86,1,71,paid,iOS,0,0.0,0.0,1,1,8,0,3,0,0,0,0,0,0,0,0,0.3085618913173675,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
89,2025-04,89,6,161,paid,Android,56,0.0884750694385729,0.0,0,0,25,1,3,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,3,0.0,0.08477769783676349
90,2025-04,90,3,154,paid,Android,1,0.0019131805747747,0.0,6,5,6,0,2,0,0,0,0,0,0,0,0,0.7258616089820862,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0019113527757206488
91,2025-04,91,1,67,paid,Android,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
92,2025-04,92,1,106,paid,Android,2,0.0405379552394151,0.0,11,8,22,2,5,0,0,0,0,0,0,0,0,0.4257776439189911,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.039737844071319965
97,2025-04,97,24,175,paid,Android,51,0.1622655594255775,0.0,106,59,152,11,37,5,14765,1080,65,9,10,6850,2250,0.1314878463745117,2025-04,0.0,0.0,0.0,0.0,False,13,0.0,0.15037116883005316
103,2025-04,103,1,153,paid,Android,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
104,2025-04,104,1,164,paid,iOS,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
105,2025-04,105,1,93,paid,Android,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,1,0.0,0.0
118,2025-04,118,2,67,organic,Android,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
120,2025-04,120,26,133,paid,Android,4,0.0,0.0,310,155,240,19,80,5,43864,1230,80,6,560,5100,3200,0.3295052051544189,2025-04,0.0,0.0,0.0,0.0,False,3,0.0,0.0
131,2025-04,131,1,110,paid,iOS,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
132,2025-04,132,1,86,paid,Android,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,2,0.0,0.0
133,2025-04,133,28,173,paid,Android,543,0.7594550607900601,0.0,149,104,244,15,73,13,158868,470,235,4,0,5850,13900,0.26171875,2025-04,0.0,0.0,0.0,0.0,False,2,0.0,0.5650041365553803
135,2025-04,135,1,112,organic,Android,8,1.888111293315888,0.0,4,4,8,0,4,0,0,0,0,0,0,0,0,0.3150021731853485,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,1.0606027567547893
136,2025-04,136,2,16,paid,Android,1,0.0028213576879352,0.0,8,5,22,2,2,0,0,0,0,0,0,0,0,0.1998988538980484,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0028173851285866755
139,2025-04,139,4,86,organic,iOS,0,0.0,0.0,12,3,18,1,1,0,0,0,0,0,0,0,0,0.3867664635181427,2025-04,0.0,0.0,0.0,0.0,False,7,0.0,0.0
146,2025-04,146,2,166,organic,Android,0,0.0,0.0,1,0,6,0,1,0,0,0,0,0,0,0,0,5.392254829406738,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
157,2025-04,157,2,164,paid,Android,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
161,2025-04,161,10,101,paid,Android,81,0.2987459655851125,0.0,214,118,204,10,62,0,0,0,0,0,0,0,0,0.2403455525636673,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.26139915704350125
167,2025-04,167,2,164,paid,iOS,5,0.6624550297856331,0.0,11,9,29,2,8,6,481,570,0,0,0,0,0,0.0877725109457969,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.5082954434290183
168,2025-04,168,12,86,organic,Android,4,0.1095007974654436,0.0,112,50,107,9,14,8,853,355,0,0,0,0,0,0.4049856066703796,2025-04,0.0,0.0,0.0,0.0,False,1,0.0,0.10391018215135608
169,2025-04,169,1,153,paid,Android,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
170,2025-04,170,1,71,paid,Android,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
183,2025-04,183,2,33,paid,Android,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
184,2025-04,184,1,133,paid,Android,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
188,2025-04,188,3,8,paid,Android,4,0.0300535429269075,0.0,11,9,31,2,2,0,0,0,0,0,0,0,0,0.4096077084541321,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.02961078431463507
194,2025-04,194,9,67,paid,Android,0,0.0,0.0,42,17,46,3,1,8,983,150,0,0,0,0,0,0.596531867980957,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
195,2025-04,195,1,153,paid,Android,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
199,2025-04,199,1,112,paid,iOS,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
213,2025-04,213,1,193,organic,Android,0,0.0,0.0,1,1,8,1,2,0,0,0,0,0,0,0,0,0.2942025661468506,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
220,2025-04,220,1,109,paid,Android,5,0.0282597891055047,0.0,2,2,8,1,3,0,0,0,0,0,0,0,0,0.1875983327627182,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.027867848244037614
246,2025-04,246,1,164,paid,Android,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
250,2025-04,250,27,98,paid,iOS,1213,15.216443150304258,33.750044107437134,753,442,573,23,114,10,21749,474,135,3,20,8350,9300,0.3695743381977081,2025-04,0.0,0.0,0.0,0.0,False,0,3.548180841288762,2.7860257367427654
260,2025-04,260,1,112,organic,iOS,1,0.0225598756223917,0.0,1,1,6,1,2,0,0,0,0,0,0,0,0,0.3152018189430237,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0223091652862719
262,2025-04,262,1,184,paid,Android,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
263,2025-04,263,4,153,paid,Android,16,0.3268429506570101,0.0,61,32,98,5,27,0,0,0,0,0,0,0,0,0.3892542123794555,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.28280239918047545
268,2025-04,268,2,164,paid,Android,1,0.4889265894889831,0.0,8,5,20,0,4,0,0,0,0,0,0,0,0,0.1828562021255493,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.3980554505986384
269,2025-04,269,1,67,paid,Android,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
270,2025-04,270,10,153,paid,Android,8,0.1135361371561884,0.0,47,27,97,4,31,0,0,0,0,0,0,0,0,0.3946756422519684,2025-04,0.0,0.0,0.0,0.0,False,7,0.0,0.10754066085386588
276,2025-04,276,29,21,paid,Android,327,6.131087252404541,0.0,211,104,271,14,73,5,22553,1800,2250,18,160,25150,4100,0.3854213058948517,2025-04,0.0,0.0,0.0,0.0,False,2,0.0,1.9644637126191227
285,2025-04,285,11,98,paid,Android,133,0.1456388993246946,0.0,31,20,89,5,1,0,0,0,0,0,0,0,0,0.2624534368515014,2025-04,0.0,0.0,0.0,0.0,False,2,0.0,0.13596247206388112
286,2025-04,286,6,161,paid,Android,0,0.0,0.0,13,13,67,2,12,0,0,0,0,0,0,0,0,0.3655100464820862,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.0
300,2025-04,300,29,180,paid,iOS,974,3.4012239805888385,10.298113822937012,376,174,293,19,53,4,29333,695,160,6,10,7200,15650,0.3410395979881286,2025-04,0.0,0.0,0.0,0.0,False,1,2.424635793461723,1.4818826796466087
302,2025-04,302,5,153,paid,Android,1,0.0105543620884418,0.0,47,18,79,6,15,0,0,0,0,0,0,0,0,0.3639583885669708,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,0.01049905363217664
304,2025-04,304,7,164,paid,Android,26,2.3469581864774227,0.0,42,30,122,5,27,0,0,0,0,0,0,0,0,0.1259974837303161,2025-04,0.0,0.0,0.0,0.0,False,0,0.0,1.2080519293150085
308,2025-04,308,10,47,paid,iOS,120,0.7399566827807575,0.0,108,52,166,13,79,9,4848,940,50,51,300,23250,6250,0.433171272277832,2025-04,0.0,0.0,0.0,0.0,False,2,0.0,0.5538602179629656
